Source,Code à barre,Référence,Quantité,Affectation,Types,Marque,Remarques,TAG
DB Electrique,3389110982510, ATS48C66Q,1.0,Centre,Démarreur,Schneider,Altistart 48  230-415V 660A,
DB Electrique,3606481089168,ATS480C66Y,1.0,Centre,Démarreur,Schneider,Altivar SoftStarter 208-690V 660A,
DB Electrique,3606480796036,ATV630C11N4,1.0,Centre,Variateur ,Schneider,Altivar Process 380-480V 110KW ( rq manque ventulateur model THB1748BG),
DB Electrique,3606480796050,ATV630C16N4,0.0,Centre,Variateur ,Schneider,Altivar Process 380-480V 160KW,
DB Electrique,3606480701450,ATV630D75N4,1.0,Centre,Variateur ,Schneider,Altivar Process 380-480V 75KW,
DB Electrique,3389110982275,ATS48D62Q,2.0,A1,Démarreur,Schneider,Altistart 48  230-415V 62A,
DB Electrique,3389110982312,ATS48D88Q,1.0,A1,Démarreur,Schneider,Altistart 48  230-415V 88A,
DB Electrique,3389110982299,ATS48D75Q,1.0,A1,Démarreur ,Schneider,Altistart 48  230-415V 75A ,
DB Electrique,3606481089038,ATS480D47Y,1.0,A2,Démarreur,Schneider,Altivar SoftStarter 208-690V 47A,
DB Electrique,3389110982251,ATS48D47Q,1.0,A2,Démarreur,Schneider,Altistart 48  230-415V 47A,
DB Electrique,,ATS480D62Y,1.0,A2,Démarreur,Schneider,SoftStarter 208-690V 62A,
DB Electrique,7320500255506,PST30-600-70,2.0,A3,Démarreur,ABB,SoftStarter 100-250V 30A,
DB Electrique,7320500255551,PST72-600-70,2.0,A3,Démarreur,ABB,SoftStarter 100-250V 72A,
DB Electrique,3606480966712,ATV320U04N4C,2.0,A4,Variateur,Schneider,"Altivar Machine 380-500V 0,37KW",
DB Electrique,3606480931291,ATV320U55N4B,1.0,A4,Variateur,Schneider,"Altivar Machine 380-500V 5,5KW",
DB Electrique,3606480758102,ATV630U15N4,1.0,A4,Variateur ,Schneider,"Altivar Process 380-480V 1,5KW",
DB Electrique,3389110982435,ATS48C32Q,1.0,B1,Démarreur,Schneider,Altistart 48  230-415V 320A,
DB Electrique,3606481089069,ATS480D88Y,5.0,B2/C2,Variateur,Schneider,Altivar SoftStarter 208-690V 88A,
DB Electrique,3606480167225,ATS22D75Q,3.0,B3,Démarreur,Schneider,Altistart 22  230-440V 75A,
DB Electrique,3606480966750,ATV320U15N4C,4.0,B4,Variateur,Schneider,"Altivar Machine 380-500V 1,5KW",
DB Electrique,3606480700569,ATV610D15N4,1.0,B4,Variateur,Schneider,Altivar 610 380-460V 15KW,
DB Electrique,3606480700583,ATV610D22N4,1.0,B4,Variateur,Schneider,Altivar 610 380-460V 22KW,
DB Electrique,3389110982411,ATS48C25Q,3.0,C1-D1,Démarreur,Schneider,Altistart 48  230-415V 250A,
DB Electrique,3606481089052,ATS480D75Y,8.0,B5-C5-D5,Variateur,Schneider,Altivar SoftStarter 208-690V 75A,
DB Electrique,3606481089014,ATS480D32Y,2.0,C3,Démarreur,Schneider,Altivar SoftStarter 208-690V 32A,
DB Electrique,3606480701405,ATV630D22N4,2.0,C4,Variateur,Schneider,Altivar Process 380-480V 22KW,
DB Electrique,3389110982350,ATS48C14Q,1.0,D1,Démarreur,Schneider,Altistart 48  230-415V 140A,
DB Electrique,,ATS480C14Y,4.0,A5-B5,Démarreur,Schneider,Altivar SoftStarter 208-690V 140A,
DB Electrique,,ATS480D38Y,3.0,D2,Démarreur,Schneider,Altistart SoftStarter 208-690V 38A,
DB Electrique,3606480701399,ATV630D18N4,1.0,D3,Variateur,Schneider,"Altivar Process 380-480V 18,5KW",
DB Electrique,820919213762,Powerflex70,1.0,D3,Variateur,Allen Bradley,"Powerflex70 5,5KW",
DB Electrique,3606480701382,ATV630D15N4,2.0,D4,Variateur ,Schneider,Altivar Process 380-480V 15KW,
DB Electrique,,EXT120,2.0,F1,Ventilateur ,Stromelec,Ventilateur métallique 12cm 220V,
DB Electrique,,R2E190AO2605,2.0,F1,Ventilateur ,Ebmpapst,Ventilateur en plastique 19cm 220V ,
DB Electrique,,WK25489HBL2,3.0,F1,Ventilateur ,Wiikool,Ventilateur métallique 25cm 220V 72W,
DB Electrique,,THB1748BG,4.0,F1,Ventilateur ,BRUSHLESS,Ventilateur métallique DC48V 5.8A pour variateur ,
DB Electrique,8B233980703,BMXCPS3500,2.0,F2,API,Schneider,Modicon power supply  pour M340 M580,
DB Electrique,3606485439976,BMEH582040,2.0,F2,API,Schneider,Modicon Module de processeur redondant M580 HSBY Level 2 For R IO,
DB Electrique,3595864174037,BMEXBP0400,2.0,F2,API,Schneider,Modicon Rack a 4 Slots Ethernet pour M580,
DB Electrique,3606481029584,MCSESU083F2CU0,3.0,F2,API,Schneider,Modicon Swich ethernet TCP/IP 6TX/2FX-MM,
DB Electrique,3606480880667,490NAC0100,2.0,F2,API,Schneider,Modicon M580 HSPY RJ45 SFP / Connecteur pour processeur ,
DB Electrique,3606480713903,BMENOC0301,4.0,F2,API,Schneider,Modicon M580 Ethernet Comm Module ,
DB Electrique,3389110747638,TSXAEY800,2.0,F3,API,Schneider,,
DB Electrique,3389110717402,TSXDSY16D2,2.0,F3,API,Schneider,,
DB Electrique,3389110725834,TSXDSY16R5,2.0,F3,API,Schneider,,
DB Electrique,3389110725582,TSXDSY64T2K,1.0,F3,API,Schneider,,
DB Electrique,3389110725667,,,F3,API,Schneider,Rack API,
DB Electrique,3595863843453,,,F4,API,Schneider,Carte d'entrées numériques,
DB Electrique,3595863932980,TSXRKY6,1.0,F4,API,Schneider,Carte d'entrées numériques,
DB Electrique,3595863843460,STBDDI3725,0.0,F4,API,Schneider,Carte de sortie numérique ,
DB Electrique,3595863933000,STBDDI3725KC,1.0,F4,API,Schneider,Carte de sortie numérique ,
DB Electrique,3595863949162,STBDDO3705,6.0,F4,API,Schneider,,
DB Electrique,3595863987812,STBNIC2212,6.0,F4,API,Schneider,,
DB Electrique,3595862055116,STBNIP2212,7.0,F4,API,Schneider,Module de communication ,
DB Electrique,3595863765960,STBXBA2300,2.0,F5,API,Schneider,,
DB Electrique,3389110876345,TSXAEY810,6.0,F5,API,Schneider,,
DB Electrique,3389110748031,TSXASY410,6.0,F5,API,Schneider,,
DB Electrique,3389110725537,TSXDEY64D2K,6.0,F5,API,Schneider,,
DB Electrique,3595863767650,TSXETY4103,18.0,F5,API,Schneider,Module de communication Ethernet API,
DB Electrique,3595863914634,STBP573623AM,2.0,F6,API,Schneider,,
DB Electrique,3595863921243,TSXH5724M,1.0,F6,API,Schneider,Processeur UNY HSBY akhfnir,
DB Electrique,3595863921250,TSXH5744M,3.0,F6,API,Schneider,Processeur UNY HSBY Tr6/7/8,
DB Electrique,3389110725605,TSXPY2600M,8.0,F6,API,Schneider,Alimentation API,
DB Electrique,3389110874600,TSXSCY21601,4.0,F6,API,Schneider,,
DB Electrique,3595863914634,TSXP573623AM,2.0,F6,API,Schneider,Processeur PL7 TR5,
DB Electrique,, BASELINE 01ALV,6.0,G2,,,,
DB Electrique,,BL02ALV,5.0,G2,,,,
DB Electrique,,BL09DRV,6.0,G2,,,,
DB Electrique,,JK0030A1,12.0,G2,,,,
DB Electrique,,JK2001,4.0,G2,,,,
DB Electrique,3389119404242,RXZE2M114,76.0,G2,,,,
DB Electrique,3389119404259,RXZE2M114M,26.0,G2,,,,
DB Electrique,,TELIS 9200U1,2.0,G2,,,,
DB Electrique,3389110644463,ABE7 CPA02,7.0,G3,,,,
DB Electrique,3389110544947,ABE7 H16R11,4.0,G3,,,,
DB Electrique,3389110544954,ABE7 H16R20,2.0,G3,,,,
DB Electrique,3389110644678,ABE7 R16T230,5.0,G3,,,,
DB Electrique,3389110706611,TSX BLY 01,1.0,G3,,,,
DB Electrique,3595863948400,STBACI1400K,10.0,G4,API,,Carte d'entrées analogiques,
DB Electrique,3595863948790,STBACO1225K,8.0,G4,API,,Carte de sorties analogiques ,
DB Electrique,3595863949223,STBCPS2111K,12.0,G4,API,,Module d'alimentation du bus logique ,
DB Electrique,3595863949216,STBPDT3100K,15.0,G4,API,,Module d'alimentation de bus de terrain ,
DB Electrique,3595863949254,STBXBE1100K,3.0,G4,,,,
DB Electrique,3595863949247,STBXBE1300K,6.0,G4,,,,
DB Electrique,3595863949230,STBXBE2100K,9.0,G4,API,,Module d'extension CANOpen,
DB Electrique,3595863910711,BMXP342020,1.0,G5,API,,Modicon M340 - processeur - 1024 E/S TOR 256 E/S ANA - 1Modbus - 1Ethernet,
DB Electrique,3595863992175,BMXXBE1000,4.0,G5,API,,Modicon - module d'extension durci pour rack durci M340/M580,
DB Electrique,3595863996357,TM2AMI8HT,3.0,G5,,,,
DB Electrique,3595863996128,TM2AMO1HT,2.0,G5,,,,
DB Electrique,3595863995749,TM2DDI32DK,2.0,G5,,,,
DB Electrique,3595863995923,TM2DDO32TK,2.0,G5,,,,
DB Electrique,3595862022194,TSXCANTDM4,3.0,G5,,,,
DB Electrique,3595863874938,TSXETG100,7.0,G5,,,,
DB Electrique,3595862048330,499NES18100,3.0,G6,,,,
DB Electrique,3595863823448,499NMS25102,2.0,G6,,,,
DB Electrique,TAGCB1138377,EDS-208,3.0,G6,,,,
DB Electrique,3595863823790,OTB1E0DM9LP,8.0,G6,,,,
DB Electrique,3595864065519,TCSESU083FN0,1.0,G6,,,,
DB Electrique,,81007-465-51-R,0.0,J5,VarMT,Allen Bradley,"VarMT Voltage Sensing Board ( carte détecteur de tension 5,5kv)",
DB Electrique,,80190-560-01-R,1.0,H3,VarMT,Allen Bradley,VarMT / Carte ACB,
DB Electrique,,80190-580-01-R,2.0,H3,VarMT,Allen Bradley,VarMT / Carte DBM,
DB Electrique,,80026-044-06-R,2.0,H4,VarMT,Allen Bradley,VarMT Alimentation IGCT / alimentation á découpage (20vcc),
DB Electrique,,80025-549-01-R,4.0,I2,VarMT,Allen Bradley,VarMT cable fibre optique  5m,
DB Electrique,,80025-549-02-R,4.0,I2,VarMT,Allen Bradley,VarMT cable fibre optique  6m,
DB Electrique,,80025-523-10-R,6.0,I2,VarMT,Allen Bradley,"VarMT condensateur d'amortissement 0,1uF",
DB Electrique,,80190-600-01-R,4.0,I3,VarMT,Allen Bradley,VarMT Optical Interface Base Brd / nbr 4 in 1,
DB Electrique,,80006-314-01,2.0,I3,VarMT,Allen Bradley,VarMT Contacteur inteligeant 1503VC-BMC5,
DB Electrique,,80026-518-01-R,4.0,I4,VarMT,Allen Bradley,VarMT / Alimentation MOX720-P4668E ( alim. excitation ),
DB Electrique,,80026-230-01,2.0,I4,VarMT,Allen Bradley,VarMT / Bobine ,
